id,exercicio,variacao,match
900,Outros,Elevação Com Barra Em,media\exercicios\GIFS ACADEMIA\PERNAS\Elevação com Barra em Degrau.gif
901,Outros,Extensão De Perna,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Elevação Pélvica na Máquina de Extensão de Pernas.gif;media\exercicios\GIFS ACADEMIA\GLÚTEOS\Extensão de Perna na Máquina Smith Reversa.gif;media\exercicios\GIFS ACADEMIA\GLÚTEOS\Glúteo Coice Na Máquina De Extensão De Pernas.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Extensão de Perna Unilateral.gif
902,Outros,Wall Sit,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Wall Sit com Inclinação de Tronco.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Wall Sit.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Wall Sit.gif
904,Outros,Subida No Step Com Elevação,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Subida no Step com Elevação de Joelhos.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Subida no Step com Elevação de Joelhos.gif
905,Outros,Afundo,media\exercicios\GIFS CROSSFIT\Arranco com kettlebell em afundo.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Alternado com Salto.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo com Gymstick.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Lateral.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo no banco.gif
906,Outros,Flexão De Pernas,media\exercicios\GIFS CALISTENIA\Flexão de pernas com toalha.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Flexão de Pernas com Faixa Elástica.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Flexão de pernas com toalha.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Flexão de Pernas deitado com Faixa Elástica.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Flexão de Pernas na Bola de Estabilidade.gif
907,Leg Press,Leg Press,media\exercicios\GIFS ACADEMIA\PANTURRILHAS\Elevação de Panturrilha no Leg Press horizontal.gif;media\exercicios\GIFS ACADEMIA\PANTURRILHAS\Elevação de Panturrilha no Leg Press.gif;media\exercicios\GIFS ACADEMIA\PANTURRILHAS\Elevação Unilateral de Panturrilha no Leg Press.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Leg Press Horizontal.gif
908,Outros,Flexão De Pernas Com Halteres,media\exercicios\GIFS ACADEMIA\PERNAS\Flexão de Pernas com Halteres Declinado.gif
1165,Abdominal,Abdominal Com Braços,media\exercicios\GIFS ABDOMINAIS\Abdominal Bicicleta com Gymstick.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal Bicicleta.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Bola Medicinal.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Braços Estendidos.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Elevação de Pernas.gif
910,Agachamento,Agachamento Unilateral Cruzado,media\exercicios\GIFS CALISTENIA\Agachamento Pistol com TRX.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola Apoiado.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola com Kettlebell.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola na Caixa.gif;media\exercicios\GIFS CALISTENIA\Agachamento Sissy ajoelhado com Peso Corporal.gif
911,Outros,Pressão Unilateral Assistida Por,media\exercicios\GIFS ACADEMIA\PERNAS\Pressão Unilateral Assistida por Alavanca.gif
916,Tríceps Francês,Tríceps Francês,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Tríceps Francês com Faixa Elástica Acima da Cabeça.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Tríceps Francês em Pé com Gymstick.gif;media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês Alternada com Halteres no Banco Inclinado.gif;media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps francês com barra W acima da cabeça sentado.gif;media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês com Halter Bilateral.gif
