id,variacao_nome,exercicio,arquivo_gif,score,resultado,url_salva,detalhe,timestamp
1023,Plataforma Vibratória,Outros,CARDIO ACADEMIA/Plataforma Vibratória.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490598/exercicios/gif/variacao-1023.gif,,2026-06-03T09:43:19
1025,Elevação De Panturrilha No Leg Press,Panturrilha,PANTURRILHAS/Elevação de Panturrilha no Leg Press.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490600/exercicios/gif/variacao-1025.gif,,2026-06-03T09:43:20
1026,Elevação De Panturrilha Em Máquina Em Pé,Panturrilha,PANTURRILHAS/Elevação de Panturrilha em Máquina em pé.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490601/exercicios/gif/variacao-1026.gif,,2026-06-03T09:43:22
1027,Elevação Unilateral De Panturrilha No Leg Press,Panturrilha,PANTURRILHAS/Elevação Unilateral de Panturrilha no Leg Press.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490602/exercicios/gif/variacao-1027.gif,,2026-06-03T09:43:23
1028,Elevação De Panturrilha Na Máquina,Panturrilha,PANTURRILHAS/Elevação de Panturrilha na Máquina.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490603/exercicios/gif/variacao-1028.gif,,2026-06-03T09:43:25
1029,Levantamento De Panturrilha Com Apoio De Banco,Panturrilha,PANTURRILHAS/Levantamento de panturrilha com apoio de banco.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490605/exercicios/gif/variacao-1029.gif,,2026-06-03T09:43:26
1031,Elevação De Panturrilha Sentado Com Barra,Panturrilha,PANTURRILHAS/Elevação de Panturrilha Sentado com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490606/exercicios/gif/variacao-1031.gif,,2026-06-03T09:43:27
1032,Elevação De Panturrilha Com Barra Em Pé,Panturrilha,PANTURRILHAS/Elevação de Panturrilha com Barra em Pé.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490607/exercicios/gif/variacao-1032.gif,,2026-06-03T09:43:28
1033,Elevação De Panturrilha Com Uma Perna Na Máquina Hack,Panturrilha,PANTURRILHAS/Elevação de Panturrilha com Uma Perna na Máquina Hack.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490608/exercicios/gif/variacao-1033.gif,,2026-06-03T09:43:29
1034,Panturrilhas Em Pé,Panturrilha,PANTURRILHAS/Panturrilhas em Pé.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490610/exercicios/gif/variacao-1034.gif,,2026-06-03T09:43:30
1035,Elevação De Panturrilha Sentado Com Peso,Panturrilha,PANTURRILHAS/Elevação de Panturrilha Sentado com Peso.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490611/exercicios/gif/variacao-1035.gif,,2026-06-03T09:43:32
1036,Elevação De Panturrilhas No Hack,Panturrilha,PANTURRILHAS/Elevação de Panturrilhas no Hack.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490613/exercicios/gif/variacao-1036.gif,,2026-06-03T09:43:34
1037,Levantamento De Panturrilha Com Apoio De Uma Perna,Panturrilha,PANTURRILHAS/Levantamento de panturrilha com apoio de uma perna.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490615/exercicios/gif/variacao-1037.gif,,2026-06-03T09:43:36
1038,Panturrilha Em Pé No Smith,Panturrilha,PANTURRILHAS/Panturrilha em Pé no Smith.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490616/exercicios/gif/variacao-1038.gif,,2026-06-03T09:43:37
1042,Rosca Martelo,Rosca Martelo,BÍCEPS/Rosca martelo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490617/exercicios/gif/variacao-1042.gif,,2026-06-03T09:43:39
1044,Rosca Martelo Com Halteres No Banco Scott,Rosca Martelo,BÍCEPS/Rosca martelo com halteres no banco scott.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490619/exercicios/gif/variacao-1044.gif,,2026-06-03T09:43:40
1046,Rosca Direta Com Barra,Rosca,BÍCEPS/Rosca Direta com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490621/exercicios/gif/variacao-1046.gif,,2026-06-03T09:43:42
