id,variacao_nome,exercicio,cloudinary_atual,status,arquivo_gif,score,observacao
826,Extensão De Tríceps Com Cabos,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636195/exercicios/gif/variacao-826-extensao-de-triceps-com-cabos,VALIDO,,,
827,Levantamento Frontal,Outros,exercicios/gif/u22qqfdtcxr1afqy7puz,VALIDO,,,
828,Elevação De Panturrilha Sentado,Panturrilha,Elevação_de_Panturrilha_Sentado_com_Alavanca,VALIDO,,,
829,Agachamento Hack Invertido,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636197/exercicios/gif/variacao-829-agachamento-hack-invertido,VALIDO,,,
830,Leg Press Horizontal,Leg,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636198/exercicios/gif/variacao-830-leg-press-horizontal,VALIDO,,,
831,Remada Sentada Na Máquina,Remada,Remada_Sentada_na_Máquina,VALIDO,,,
832,Rosca Bíceps,Rosca,Rosca_bíceps_com_halteres,VALIDO,,,
833,Extensão De Tríceps Com Haltere Unilateral,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636200/exercicios/gif/variacao-833-extensao-de-triceps-com-haltere-unilateral,VALIDO,,,
834,Supino Inclinado Com Halteres E Pegada,Supino,,MATCH,PEITORAL/Supino Inclinado com Halteres.gif,0.8657,
835,Crucifixo Deitado Com Cabo,Crucifixo,,MATCH,PEITORAL/Crucifixo Deitado com Cabo.gif,1.0000,
836,Supino Declinada,Supino,,SEM_MATCH,,,
837,Pullover Com Halteres Na Bola,Outros,,SEM_MATCH,,,
838,Supino Pegada,Supino,,SEM_MATCH,,,
839,Mergulho De Peito,Outros,,SEM_MATCH,,,
840,Supino Inclinado Na Máquina Com Pegada,Supino,,SEM_MATCH,,,
841,Supino Inclinado,Supino,,SEM_MATCH,,,
842,Cross Over Polia Baixa,Cross Over,,MATCH,PEITORAL/Cross over polia baixa.gif,1.0000,
843,Supino Declinado Na Máquina Smith,Supino,,MATCH,PEITORAL/Supino declinado na máquina Smith.gif,1.0000,
844,Supino Inclinado Com Cabo,Supino,,MATCH,PEITORAL/Supino inclinado com cabo.gif,1.0000,
845,Crucifixo Unilateral Em Declinado Com Cabo,Crucifixo,,MATCH,PEITORAL/Crucifixo Unilateral em Declinado com Cabo.gif,1.0000,
846,Supino Invertido Com Pegada,Supino,,SEM_MATCH,,,
847,Supino Unilateral,Supino,,SEM_MATCH,,,
848,Supino Inclinado Com Halteres Em,Supino,,MATCH,PEITORAL/Supino Inclinado com Halteres.gif,0.9508,
849,Supino Declinado Pegada,Supino,,SEM_MATCH,,,
850,Crossover Unilateral Com Cabo,Cross Over,,MATCH,PEITORAL/Crossover Unilateral com Cabo.gif,1.0000,
851,Crossover,Cross Over,,SEM_MATCH,,,
852,Supino Declinado Unilateral Pegada Martelo,Supino,,SEM_MATCH,,,
853,Anilha Press,Outros,,MATCH,PEITORAL/Anilha Press.gif,1.0000,
854,Crucifixo Com Cabo,Crucifixo,,SEM_MATCH,,,
