id,exercicio,variacao,score,gif_origem,gif_name
1264,Outros,Alongamento Dos Isquiotibiais Em Pé Com A Perna,93.1,1683,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491221/exercicios/gif/variacao-1683.gif
1267,Panturrilha,Alongamento De Panturrilha,88.37,1283,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490771/exercicios/gif/variacao-1283.gif
1271,Outros,Alongamento De Quadríceps,90.14,1247,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490750/exercicios/gif/variacao-1247.gif
1272,Outros,Alongamento De Isquiotibiais,92.11,1280,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490769/exercicios/gif/variacao-1280.gif
1274,Outros,Alongamento De Ombro Com O Braço,90.7,1689,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491228/exercicios/gif/variacao-1689.gif
1278,Outros,Alongamento Da Parte Superior Das,91.95,1691,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491231/exercicios/gif/variacao-1691.gif
1279,Outros,Alongamento Das Costas Com Rolo,88.37,1692,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491233/exercicios/gif/variacao-1692.gif
1281,Glúteo,Alongamento De Glúteos,87.88,1693,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491234/exercicios/gif/variacao-1693.gif
1282,Panturrilha,Alongamento Da Panturrilha Com Descida,91.84,1283,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490771/exercicios/gif/variacao-1283.gif
1284,Panturrilha,Alongamento Da Panturrilha,89.41,1695,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491236/exercicios/gif/variacao-1695.gif
1290,Outros,Alongamento Do Peitoral,86.96,1680,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491217/exercicios/gif/variacao-1680.gif
1300,Outros,Bandeira,89.66,755,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636113/exercicios/gif/variacao-755-cadeira.gif
1304,Outros,Flexão De Perna Com Halteres Em Decúbito,93.07,1711,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491250/exercicios/gif/variacao-1711.gif
1315,Agachamento,Agachamento Sissy Ajoelhado Com Peso,91.43,1719,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491258/exercicios/gif/variacao-1719.gif
1320,Outros,Flexão De Braço Com Uma Perna,89.86,1723,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491262/exercicios/gif/variacao-1723.gif
1324,Agachamento,Agachamento Pistola,88.57,1730,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491269/exercicios/gif/variacao-1730.gif
1325,Outros,Flexão De Braço Declinada Com Bola,86.36,1742,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491284/exercicios/gif/variacao-1742.gif
1326,Outros,Flexões De Apoio De Mão,85.71,1728,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491267/exercicios/gif/variacao-1728.gif
1335,Tríceps Francês,Tríceps Francês Em Pé,85.06,1735,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491276/exercicios/gif/variacao-1735.gif
1346,Agachamento,Salto Na Caixa Para Agachamento,91.49,1737,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491278/exercicios/gif/variacao-1737.gif
