id,exercicio,variacao,score,gif_sugerido
1084,Outros,Toque,48.64864864864865,media\exercicios\GIFS CALISTENIA\Flexão com Toque no Peito.gif
1087,Prancha,Prancha Joelho Ao,66.66666666666667,media\exercicios\GIFS ABDOMINAIS\Prancha joelho ao cotovelo.gif
1088,Prancha,Prancha Com Movimento,70.0,media\exercicios\GIFS ABDOMINAIS\Prancha com Movimento de Aranha.gif
1090,Outros,Torção Com Barra,80.85106382978724,media\exercicios\GIFS ABDOMINAIS\Torção com Barra Sentado.gif
1094,Prancha,Prancha De Frente Para A Prancha,87.5,media\exercicios\GIFS ABDOMINAIS\Prancha de frente para a prancha lateral.gif
1095,Outros,Máquina De Torção,77.55102040816327,media\exercicios\GIFS ABDOMINAIS\Máquina de Torção Sentada.gif
1162,Abdominal,Abdominal Com Elevação,86.66666666666667,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
1098,Prancha,Prancha Com Abertura De Pernas - Perna,85.1063829787234,media\exercicios\GIFS ABDOMINAIS\Prancha com Abertura de Pernas - Perna Estendida.gif
1099,Outros,Toque Nos Dedos Dos Pés Com Giro,75.29411764705883,media\exercicios\GIFS ABDOMINAIS\Toque nos Dedos dos Pés com Giro de Caranguejo.gif
1100,Outros,Meio,58.33333333333333,media\exercicios\GIFS ACADEMIA\BÍCEPS\Rosca martelo.gif
1102,Prancha,Prancha Lateral Com Flexão,78.87323943661973,media\exercicios\GIFS ABDOMINAIS\Prancha lateral com flexão do quadril.gif
1106,Outros,Extensão Com Roda,70.83333333333333,media\exercicios\GIFS ACADEMIA\ERETORES DA ESPINHA\Extensão Lombar com Peso.gif
1107,Outros,Levantamento De Quadril Com Pernas Elevadas Em Banco,85.9504132231405,media\exercicios\GIFS ABDOMINAIS\Levantamento de quadril com pernas elevadas em banco inclinado.gif
1109,Outros,Posição,66.66666666666667,media\exercicios\GIFS ABDOMINAIS\Posição do Barco.gif
1111,Abdominal,Máquina De Abdominal,81.35593220338984,media\exercicios\GIFS ABDOMINAIS\Máquina de abdominal completo.gif
1113,Outros,Inclinação Lateral Em Pé,87.27272727272728,media\exercicios\GIFS ABDOMINAIS\Inclinação Lateral em Pé.gif
1116,Outros,Máquina De Abdominais,84.21052631578947,media\exercicios\GIFS ABDOMINAIS\Máquina de Abdominais Sentado.gif
1117,Abdominal,Máquina Abdominal,76.92307692307692,media\exercicios\GIFS ABDOMINAIS\Máquina Abdominal Coaster.gif
1121,Outros,Inclinação Lateral Com Peso Em Bola,75.26881720430107,media\exercicios\GIFS ABDOMINAIS\Inclinação Lateral com Peso em Bola de Estabilidade.gif
1122,Abdominal,Exercício De Vácuo Abdominal Em Quatro,90.32258064516128,media\exercicios\GIFS ABDOMINAIS\Exercício de vácuo abdominal em quatro apoios.gif
1124,Abdominal,Abdominal Infra No Solo Com Flexão,77.77777777777779,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
1127,Outros,Encolhimento,76.92307692307692,media\exercicios\GIFS ABDOMINAIS\Encolhimento Reverso.gif
1128,Outros,Flexão De Joelho Com Bola,71.05263157894737,media\exercicios\GIFS ABDOMINAIS\Abdominal infra no solo com flexão de joelho.gif
1129,Puxada,Elevação De Joelhos Com Puxada,85.71428571428572,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif
1134,Abdominal,Abdominal,80.85106382978724,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
1136,Outros,Elevação Em V,73.91304347826086,media\exercicios\GIFS ABDOMINAIS\Elevação em V com Halteres.gif
1137,Outros,Giro Com Barra Na Máquina,75.75757575757575,media\exercicios\GIFS ABDOMINAIS\Giro com Barra na Máquina Landmine.gif
1138,Outros,Escalador Cruzado,75.47169811320755,media\exercicios\GIFS ABDOMINAIS\Escalador Cruzado de Montanha.gif
1142,Outros,Arremesso Com Torção Russa Da Bola,84.0909090909091,media\exercicios\GIFS ABDOMINAIS\Arremesso com Torção Russa da Bola com Parceiro.gif
1145,Outros,Exercício,75.0,media\exercicios\GIFS ABDOMINAIS\Exercício Teaser.gif
1148,Abdominal,Abdominal Lateral No Banco,81.25,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
1150,Prancha,Chutes No Prancha,73.07692307692308,media\exercicios\GIFS ABDOMINAIS\Chutes no Prancha Invertida.gif
1151,Outros,Elevação Alternada,79.24528301886792,media\exercicios\GIFS ABDOMINAIS\Elevação Alternada de Pernas.gif
1152,Outros,Chutes Alternados,84.0,media\exercicios\GIFS ABDOMINAIS\Chutes Alternados Sentados.gif
1153,Abdominal,Abdominal Com Rolo,100.0,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
1155,Outros,Abdução De Quadril No Apoio,81.15942028985508,media\exercicios\GIFS ABDOMINAIS\Abdução de quadril no apoio lateral.gif
1156,Abdominal,Abdominal Com Giro,92.85714285714286,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
1158,Outros,Elevação De Perna,80.95238095238095,media\exercicios\GIFS ABDOMINAIS\Elevação de Pernas.gif
1167,Outros,Inclinação,74.28571428571429,media\exercicios\GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO\Inclinação Lateral.gif
1168,Outros,Levantamento De Braço Apoiado,82.66666666666667,media\exercicios\GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO\Levantamento de braço apoiado na parede.gif
